pawndiff knightdiff bishopdiff rookdiff queendiff result white black whiteelo blackelo
0 0 -1 0 1 1-0 peterni chessy74 1435 1450
-1 -1 1 0 0 0-1 peterni veERA9 1440 1430
-1 0 0 -2 0 0-1 peterni MaxiMarin2 1446 1431
2 0 0 0 0 0-1 m-o-s-i peterni 1412 1441
-1 1 0 0 0 1-0 joprak peterni 1484 1446
-1 -1 0 0 0 0-1 no1ucare peterni 1420 1440
1 0 0 0 0 0-1 peterni AliKzm 1445 1441
0 0 1 0 0 1-0 peterni milena9 1439 1437
0 0 1 -1 0 0-1 paul_ifada peterni 1069 1438
1 0 1 0 2 1-0 peterni Himanshumaster07 1436 1094
-2 1 0 -1 1 1-0 peterni Star-Lorde 1429 1491
-2 0 0 0 0 1/2-1/2 vignesh1234 peterni 1431 1429
0 0 -2 0 0 0-1 Xacto10 peterni 1478 1422
0 0 0 1 1 1-0 peterni Dev-M 1416 1386
2 0 0 -1 -1 0-1 ismail_goecen peterni 1439 1410
0 1 0 0 0 1-0 peterni vugiaman 1402 1489
0 0 0 -1 0 0-1 king-ti peterni 1314 1397
-1 0 0 0 0 0-1 peterni GabrielBrum 1404 1368
-1 -1 1 0 0 0-1 picardred peterni 1334 1399
0 0 0 0 0 0-1 peterni ajcax 1403 1510
0 1 -1 0 0 1-0 FranJaGa peterni 1472 1407
-1 1 0 0 0 1-0 Ilyesbz27 peterni 1439 1413
-1 -1 1 -1 0 0-1 peterni josealuizio6samurai 1419 1368
0 0 0 0 -1 0-1 peterni johaneliberte 1425 1408
2 0 -1 0 -1 0-1 kai-93 peterni 1403 1419
1 -1 0 0 -1 0-1 Ahmed-abd-elmotlb peterni 1315 1415
0 0 0 1 1 1-0 peterni Ahmed-abd-elmotlb 1410 1319
-2 -1 0 0 0 0-1 Ahmed-abd-elmotlb peterni 1323 1405
1 -1 0 1 0 1-0 f1esh peterni 1422 1411
-2 0 2 -1 1 1-0 peterni GhostDelta 1405 1380
-2 -1 1 0 0 0-1 peterni supermariojardel 1411 1373
0 0 0 0 0 1-0 peterni Sifnosguy 1404 1460
2 -1 -1 0 0 1-0 AKamal007 peterni 1414 1410
-3 1 0 0 0 1-0 peterni Hendawy2020 1406 1286
0 2 -1 0 0 1-0 JuYaiYao peterni 1416 1412
0 0 2 0 0 1-0 peterni KareemMegdadi 1404 1436
-1 0 -1 0 0 0-1 joshasourus peterni 1376 1398
-2 0 0 1 0 0-1 Constantine_Kudryk peterni 1383 1391
-1 0 0 0 0 1-0 LearnedNoodle peterni 1421 1397
-1 1 -1 0 0 0-1 peterni CU-ChessBro 1403 1403
-1 -1 1 0 0 0-1 Anonymous peterni ? 1403
0 1 0 0 0 1-0 peterni Anonymous 1403 ?
